ptr_id,year,member,class,source_url
2016-00941,2016,Request for Letters of Intent To Apply for 2015 Technology I (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00941/request-for-letters-of-intent-to-apply-for-2015-technology-initiative-grant-funding
2016-00768,2016,Notice of Proposed Information Collection Request: Guideline (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00768/notice-of-proposed-information-collection-request-guidelines-for-grants-to-states-program-five-year
2016-00972,2016,Concentration Averaging and Encapsulation Branch Technical P (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00972/concentration-averaging-and-encapsulation-branch-technical-position
2016-01009,2016,"Excepted Service; Consolidated Listing of Schedules A, B, an (Notice)",,https://www.federalregister.gov/documents/2016/01/20/2016-01009/excepted-service-consolidated-listing-of-schedules-a-b-and-c-exceptions
2016-00896,2016,"Self-Regulatory Organizations; BATS Exchange, Inc.; Notice o (Notice)",,https://www.federalregister.gov/documents/2016/01/20/2016-00896/self-regulatory-organizations-bats-exchange-inc-notice-of-filing-of-a-proposed-rule-change-to-rule
2016-01130,2016,Sunshine Act Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-01130/sunshine-act-meeting
2016-00971,2016,Self-Regulatory Organizations; Miami International Securitie (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00971/self-regulatory-organizations-miami-international-securities-exchange-llc-notice-of-filing-and
2016-00899,2016,Self-Regulatory Organizations; Chicago Board Options Exchang (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00899/self-regulatory-organizations-chicago-board-options-exchange-incorporated-notice-of-filing-and
2016-00902,2016,"Self-Regulatory Organizations; BATS Exchange, Inc.; Notice o (Notice)",,https://www.federalregister.gov/documents/2016/01/20/2016-00902/self-regulatory-organizations-bats-exchange-inc-notice-of-designation-of-longer-period-for
2016-00897,2016,Self-Regulatory Organizations; The NASDAQ Stock Market LLC;  (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00897/self-regulatory-organizations-the-nasdaq-stock-market-llc-notice-of-filing-and-immediate
2016-01129,2016,Sunshine Act Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-01129/sunshine-act-meeting
2016-00900,2016,Self-Regulatory Organizations; NYSE MKT LLC; Notice of Filin (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00900/self-regulatory-organizations-nyse-mkt-llc-notice-of-filing-and-immediate-effectiveness-of-proposed
2016-01012,2016,Culturally Significant Objects Imported for Exhibition Deter (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-01012/culturally-significant-objects-imported-for-exhibition-determinations-peter-fischli-david-weiss-how
2016-01021,2016,60-Day Notice of Proposed Information Collection: Applicatio (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-01021/60-day-notice-of-proposed-information-collection-application-for-employment-as-a-locally-employed
2016-01002,2016,Culturally Significant Objects Imported for Exhibition Deter (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-01002/culturally-significant-objects-imported-for-exhibition-determinations-a-japanese-constellation-toyo
2016-01007,2016,Culturally Significant Objects Imported for Exhibition Deter (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-01007/culturally-significant-objects-imported-for-exhibition-determinations-asia-in-amsterdam-exhibition
2016-00975,2016,Agency Information Collection Activities: Requests for Comme (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00975/agency-information-collection-activities-requests-for-comments-clearance-of-renewed-approval-of
2016-00985,2016,Agency Information Collection Activities: Requests for Comme (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00985/agency-information-collection-activities-requests-for-comments-clearance-of-renewed-approval-of
2016-00894,2016,Credit for Indian Coal Production and Inflation Adjustment F (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00894/credit-for-indian-coal-production-and-inflation-adjustment-factor-for-calendar-year-2015
2016-00892,2016,Proposed Collection; Comment Request for Revenue Procedure 2 (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00892/proposed-collection-comment-request-for-revenue-procedure-2003-39
2016-00893,2016,Proposed Collection; Comment Request for Revenue Procedure 2 (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00893/proposed-collection-comment-request-for-revenue-procedure-2006-31
2016-00891,2016,Proposed Collection; Comment Request for Form 6198 (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00891/proposed-collection-comment-request-for-form-6198
2016-00887,2016,Pricing Changes for 2016 United States Mint Products (Notice),,https://www.federalregister.gov/documents/2016/01/20/2016-00887/pricing-changes-for-2016-united-states-mint-products
